route,date,airline,lead_time,total_fare,route_median,fare_deviation,availability,outlier_flag
BOM-BLR,2026-09-12,Air India,T+7,8608,6133.5,40.34,AVAILABLE,NORMAL
DEL-BLR,2026-10-05,Air India Express,T+30,7809,6927.0,12.73,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,SpiceJet,T+15,4940,6133.5,-19.46,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,SpiceJet,T+45,8092,6133.5,31.93,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,Air India Express,T+15,8931,7207.0,23.92,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,IndiGo,T+45,7455,7393.0,0.84,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,IndiGo,T+45,7293,6927.0,5.28,AVAILABLE,NORMAL
DEL-CCU,2026-09-12,Air India,T+7,4136,6581.5,-37.16,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,Air India Express,T+30,4888,6581.5,-25.73,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,Akasa Air,T+1,9104,6792.5,34.03,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,SpiceJet,T+30,5914,6581.5,-10.14,SOLD_OUT,NORMAL
BOM-BLR,2026-10-20,Air India Express,T+45,7457,6133.5,21.58,AVAILABLE,NORMAL
DEL-BLR,2026-09-20,Air India Express,T+15,9212,6927.0,32.99,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,SpiceJet,T+15,5677,6133.5,-7.44,AVAILABLE,NORMAL
DEL-CCU,2026-09-12,Air India Express,T+7,5545,6581.5,-15.75,SOLD_OUT,NORMAL
DEL-CCU,2026-10-05,Air India Express,T+30,5219,6581.5,-20.7,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,Air India,T+1,8754,6133.5,42.72,AVAILABLE,NORMAL
BLR-HYD,2026-09-12,Air India,T+7,3687,6792.5,-45.72,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,Air India,T+1,7823,7393.0,5.82,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,Air India,T+15,6138,7393.0,-16.98,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,Air India,T+45,9372,6792.5,37.98,SOLD_OUT,NORMAL
DEL-BLR,2026-10-05,IndiGo,T+30,10058,6927.0,45.2,SOLD_OUT,NORMAL
DEL-BOM,2026-09-20,IndiGo,T+15,8346,7207.0,15.8,SOLD_OUT,NORMAL
DEL-CCU,2026-10-20,SpiceJet,T+45,7450,6581.5,13.2,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,Air India Express,T+7,9673,7207.0,34.22,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,Air India Express,T+15,8584,7393.0,16.11,AVAILABLE,NORMAL
MAA-DEL,2026-10-05,Akasa Air,T+30,7628,7393.0,3.18,AVAILABLE,NORMAL
DEL-BLR,2026-09-20,Akasa Air,T+15,5154,6927.0,-25.6,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,Air India Express,T+15,8409,6133.5,37.1,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,IndiGo,T+1,7216,6927.0,4.17,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,Air India Express,T+1,8678,7393.0,17.38,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,Air India,T+30,9890,6581.5,50.27,AVAILABLE,NORMAL
DEL-CCU,2026-09-12,SpiceJet,T+7,9718,6581.5,47.66,AVAILABLE,NORMAL
DEL-CCU,2026-09-20,SpiceJet,T+15,4294,6581.5,-34.76,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,Air India,T+45,7641,6792.5,12.49,AVAILABLE,NORMAL
DEL-BOM,2026-10-20,Air India,T+45,7377,7207.0,2.36,AVAILABLE,NORMAL
DEL-BLR,2026-10-05,SpiceJet,T+30,7383,6927.0,6.58,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,IndiGo,T+30,5327,6133.5,-13.15,AVAILABLE,NORMAL
DEL-CCU,2026-09-06,Air India Express,T+1,7783,6581.5,18.26,AVAILABLE,NORMAL
BOM-BLR,2026-09-12,Akasa Air,T+7,9683,6133.5,57.87,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,Air India Express,T+30,7206,6581.5,9.49,AVAILABLE,NORMAL
BLR-HYD,2026-09-20,Air India,T+15,4340,6792.5,-36.11,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,IndiGo,T+1,6140,6927.0,-11.36,AVAILABLE,NORMAL
DEL-CCU,2026-09-12,Air India,T+7,7216,6581.5,9.64,AVAILABLE,NORMAL
DEL-BOM,2026-10-05,IndiGo,T+30,8164,7207.0,13.28,AVAILABLE,NORMAL
DEL-BOM,2026-10-20,Akasa Air,T+45,8666,7207.0,20.24,AVAILABLE,NORMAL
DEL-BLR,2026-09-12,SpiceJet,T+7,9321,6927.0,34.56,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,SpiceJet,T+15,8589,7393.0,16.18,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,Air India,T+45,5359,6133.5,-12.63,AVAILABLE,NORMAL
MAA-DEL,2026-10-05,Air India,T+30,8122,7393.0,9.86,MISSING,NORMAL
DEL-CCU,2026-09-20,SpiceJet,T+15,9284,6581.5,41.06,AVAILABLE,NORMAL
BLR-HYD,2026-09-12,Akasa Air,T+7,5422,6792.5,-20.18,AVAILABLE,NORMAL
DEL-BOM,2026-10-05,SpiceJet,T+30,7167,7207.0,-0.56,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,Air India Express,T+1,7136,6927.0,3.02,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,Akasa Air,T+45,8252,6133.5,34.54,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,SpiceJet,T+7,7412,7393.0,0.26,SOLD_OUT,NORMAL
DEL-BOM,2026-09-12,Air India,T+7,9435,7207.0,30.91,MISSING,NORMAL
DEL-BLR,2026-09-12,SpiceJet,T+7,6685,6927.0,-3.49,AVAILABLE,NORMAL
DEL-CCU,2026-09-20,SpiceJet,T+15,5935,6581.5,-9.82,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,Akasa Air,T+15,5173,7207.0,-28.22,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,Air India,T+1,5991,6927.0,-13.51,AVAILABLE,NORMAL
BOM-BLR,2026-09-12,Air India,T+7,6084,6133.5,-0.81,AVAILABLE,NORMAL
BLR-HYD,2026-09-20,Air India Express,T+15,10050,6792.5,47.96,AVAILABLE,NORMAL
DEL-CCU,2026-09-20,Air India,T+15,4763,6581.5,-27.63,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,IndiGo,T+45,3644,6792.5,-46.35,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,Akasa Air,T+7,8469,7207.0,17.51,AVAILABLE,NORMAL
BLR-HYD,2026-09-20,Akasa Air,T+15,4340,6792.5,-36.11,AVAILABLE,NORMAL
DEL-CCU,2026-09-06,Akasa Air,T+1,3789,6581.5,-42.43,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,Air India Express,T+45,5543,7393.0,-25.02,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,IndiGo,T+1,7558,6927.0,9.11,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Air India Express,T+30,4324,6133.5,-29.5,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,Air India,T+15,8902,7393.0,20.41,MISSING,NORMAL
DEL-BOM,2026-10-05,IndiGo,T+30,6683,7207.0,-7.27,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,Air India,T+1,7753,7393.0,4.87,AVAILABLE,NORMAL
DEL-BOM,2026-09-06,SpiceJet,T+1,5378,7207.0,-25.38,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,IndiGo,T+1,9173,6133.5,49.56,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,Air India Express,T+1,5384,6927.0,-22.28,AVAILABLE,NORMAL
DEL-CCU,2026-09-20,IndiGo,T+15,5018,6581.5,-23.76,AVAILABLE,NORMAL
BLR-HYD,2026-10-05,Air India Express,T+30,9584,6792.5,41.1,MISSING,NORMAL
BLR-HYD,2026-09-06,Air India Express,T+1,4356,6792.5,-35.87,AVAILABLE,NORMAL
BLR-HYD,2026-10-05,SpiceJet,T+30,9727,6792.5,43.2,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,Air India Express,T+45,6614,6927.0,-4.52,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,SpiceJet,T+15,5164,7207.0,-28.35,AVAILABLE,NORMAL
MAA-DEL,2026-10-05,Air India,T+30,6040,7393.0,-18.3,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,Air India Express,T+1,4271,6133.5,-30.37,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,Akasa Air,T+1,3446,6792.5,-49.27,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,Akasa Air,T+1,5962,6133.5,-2.8,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,Air India,T+45,7666,6792.5,12.86,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Air India Express,T+30,4351,6133.5,-29.06,AVAILABLE,NORMAL
DEL-CCU,2026-09-20,IndiGo,T+15,5547,6581.5,-15.72,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,Akasa Air,T+1,4471,6927.0,-35.46,SOLD_OUT,NORMAL
BLR-HYD,2026-09-20,Akasa Air,T+15,7108,6792.5,4.64,AVAILABLE,NORMAL
DEL-BLR,2026-09-20,Air India Express,T+15,8318,6927.0,20.08,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,Akasa Air,T+45,9786,6133.5,59.55,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,SpiceJet,T+7,8505,7207.0,18.01,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,Akasa Air,T+7,7151,7393.0,-3.27,AVAILABLE,NORMAL
DEL-CCU,2026-09-20,Air India,T+15,5458,6581.5,-17.07,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,IndiGo,T+30,8587,6581.5,30.47,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,Akasa Air,T+45,3898,7393.0,-47.27,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,IndiGo,T+1,9771,7393.0,32.17,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,IndiGo,T+45,9192,6792.5,35.33,AVAILABLE,NORMAL
DEL-CCU,2026-09-06,IndiGo,T+1,4177,6581.5,-36.53,AVAILABLE,NORMAL
BLR-HYD,2026-09-12,SpiceJet,T+7,7184,6792.5,5.76,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,SpiceJet,T+7,6023,7393.0,-18.53,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,IndiGo,T+7,6309,7207.0,-12.46,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,Air India Express,T+30,4481,6581.5,-31.92,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,IndiGo,T+1,3751,6133.5,-38.84,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,Air India,T+45,5084,7393.0,-31.23,AVAILABLE,NORMAL
DEL-BLR,2026-09-12,Akasa Air,T+7,5399,6927.0,-22.06,AVAILABLE,NORMAL
BLR-HYD,2026-10-05,Air India,T+30,8439,6792.5,24.24,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,IndiGo,T+45,4479,6133.5,-26.97,AVAILABLE,NORMAL
DEL-BOM,2026-10-05,Air India Express,T+30,8107,7207.0,12.49,AVAILABLE,NORMAL
BLR-HYD,2026-09-20,IndiGo,T+15,6559,6792.5,-3.44,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,SpiceJet,T+45,4466,6133.5,-27.19,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,Air India,T+15,9004,7207.0,24.93,AVAILABLE,NORMAL
BLR-HYD,2026-10-05,Akasa Air,T+30,5231,6792.5,-22.99,AVAILABLE,NORMAL
DEL-BLR,2026-09-12,SpiceJet,T+7,7391,6927.0,6.7,AVAILABLE,NORMAL
DEL-BOM,2026-09-06,Air India Express,T+1,7207,7207.0,0.0,AVAILABLE,NORMAL
MAA-DEL,2026-10-05,Akasa Air,T+30,9268,7393.0,25.36,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,IndiGo,T+45,3601,6927.0,-48.02,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Air India,T+30,8330,6133.5,35.81,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,SpiceJet,T+15,7726,6133.5,25.96,AVAILABLE,NORMAL
DEL-CCU,2026-09-12,IndiGo,T+7,5636,6581.5,-14.37,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,Air India,T+7,9870,7207.0,36.95,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,Akasa Air,T+7,8439,7393.0,14.15,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,SpiceJet,T+15,7849,7207.0,8.91,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,Air India Express,T+45,5996,6133.5,-2.24,AVAILABLE,NORMAL
DEL-CCU,2026-09-20,IndiGo,T+15,8731,6581.5,32.66,AVAILABLE,NORMAL
MAA-DEL,2026-09-12,Air India Express,T+7,10079,7393.0,36.33,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Akasa Air,T+30,6991,6133.5,13.98,AVAILABLE,NORMAL
BLR-HYD,2026-09-20,Air India Express,T+15,7356,6792.5,8.3,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,Akasa Air,T+15,4216,7393.0,-42.97,AVAILABLE,NORMAL
DEL-BLR,2026-09-20,Akasa Air,T+15,6070,6927.0,-12.37,AVAILABLE,NORMAL
DEL-CCU,2026-09-06,Air India Express,T+1,3687,6581.5,-43.98,AVAILABLE,NORMAL
DEL-BOM,2026-10-05,Air India,T+30,7034,7207.0,-2.4,AVAILABLE,NORMAL
DEL-BLR,2026-09-12,Air India Express,T+7,5556,6927.0,-19.79,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,Air India,T+1,7014,7393.0,-5.13,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,IndiGo,T+1,3398,7393.0,-54.04,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,Akasa Air,T+1,3676,6792.5,-45.88,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,Akasa Air,T+1,5339,6927.0,-22.92,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,Air India Express,T+15,4762,6133.5,-22.36,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,Air India,T+1,7973,7393.0,7.85,AVAILABLE,NORMAL
BOM-BLR,2026-09-12,Air India,T+7,7227,6133.5,17.83,AVAILABLE,NORMAL
DEL-BOM,2026-09-06,Air India,T+1,8361,7207.0,16.01,SOLD_OUT,NORMAL
DEL-BLR,2026-09-20,Air India,T+15,8479,6927.0,22.41,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,Air India Express,T+1,8803,6792.5,29.6,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,Akasa Air,T+15,8598,7393.0,16.3,AVAILABLE,NORMAL
DEL-CCU,2026-09-12,IndiGo,T+7,7947,6581.5,20.75,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,Air India,T+30,8229,6133.5,34.16,AVAILABLE,NORMAL
DEL-CCU,2026-09-06,IndiGo,T+1,7933,6581.5,20.53,AVAILABLE,NORMAL
DEL-BOM,2026-10-20,Akasa Air,T+45,6221,7207.0,-13.68,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,Akasa Air,T+1,8983,7393.0,21.51,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,IndiGo,T+45,5010,6133.5,-18.32,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,IndiGo,T+15,9406,7393.0,27.23,SOLD_OUT,NORMAL
DEL-BLR,2026-10-05,IndiGo,T+30,4620,6927.0,-33.3,AVAILABLE,NORMAL
MAA-DEL,2026-09-06,Air India,T+1,3472,7393.0,-53.04,AVAILABLE,NORMAL
BLR-HYD,2026-09-20,SpiceJet,T+15,4829,6792.5,-28.91,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,IndiGo,T+15,6979,7207.0,-3.16,AVAILABLE,NORMAL
MAA-DEL,2026-10-05,IndiGo,T+30,7393,7393.0,0.0,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,Air India,T+15,9718,6133.5,58.44,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,SpiceJet,T+1,3484,6927.0,-49.7,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,Air India,T+1,8357,6927.0,20.64,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,Air India Express,T+15,4368,7393.0,-40.92,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,Air India,T+7,7566,7207.0,4.98,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,Air India Express,T+15,4439,6133.5,-27.63,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,Air India Express,T+45,5606,6792.5,-17.47,AVAILABLE,NORMAL
DEL-BLR,2026-09-12,SpiceJet,T+7,4527,6927.0,-34.65,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,IndiGo,T+15,3830,6133.5,-37.56,AVAILABLE,NORMAL
DEL-BOM,2026-10-20,Air India,T+45,5555,7207.0,-22.92,SOLD_OUT,NORMAL
BOM-BLR,2026-09-06,IndiGo,T+1,5583,6133.5,-8.98,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,IndiGo,T+45,4383,7393.0,-40.71,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,SpiceJet,T+1,7537,6792.5,10.96,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,Akasa Air,T+15,6187,6133.5,0.87,AVAILABLE,NORMAL
BLR-HYD,2026-09-12,IndiGo,T+7,4198,6792.5,-38.2,AVAILABLE,NORMAL
BLR-HYD,2026-09-12,Air India Express,T+7,7185,6792.5,5.78,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,Air India Express,T+45,3813,6927.0,-44.95,AVAILABLE,NORMAL
MAA-DEL,2026-09-20,Air India,T+15,6833,7393.0,-7.57,AVAILABLE,NORMAL
DEL-BLR,2026-10-05,IndiGo,T+30,7514,6927.0,8.47,AVAILABLE,NORMAL
DEL-BOM,2026-09-06,Air India,T+1,3422,7207.0,-52.52,AVAILABLE,NORMAL
DEL-BLR,2026-09-20,Akasa Air,T+15,9557,6927.0,37.97,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,IndiGo,T+1,4011,6133.5,-34.61,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,IndiGo,T+1,6920,6133.5,12.82,SOLD_OUT,NORMAL
MAA-DEL,2026-10-05,Akasa Air,T+30,3856,7393.0,-47.84,AVAILABLE,NORMAL
DEL-BLR,2026-09-20,Air India Express,T+15,6863,6927.0,-0.92,AVAILABLE,NORMAL
MAA-DEL,2026-10-05,Air India Express,T+30,7110,7393.0,-3.83,AVAILABLE,NORMAL
DEL-BLR,2026-09-12,Akasa Air,T+7,8915,6927.0,28.7,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,Akasa Air,T+15,7736,7207.0,7.34,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,Akasa Air,T+15,4630,6133.5,-24.51,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,IndiGo,T+30,7949,6133.5,29.6,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,Air India,T+7,5987,7207.0,-16.93,AVAILABLE,NORMAL
DEL-BLR,2026-10-05,SpiceJet,T+30,6178,6927.0,-10.81,AVAILABLE,NORMAL
MAA-DEL,2026-10-20,Air India Express,T+45,3883,7393.0,-47.48,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,Akasa Air,T+45,5885,6927.0,-15.04,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,Air India,T+1,7851,6792.5,15.58,AVAILABLE,NORMAL
DEL-BLR,2026-09-12,Air India Express,T+7,5765,6927.0,-16.77,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,IndiGo,T+45,6208,6927.0,-10.38,AVAILABLE,NORMAL
BLR-HYD,2026-09-20,IndiGo,T+15,5886,6792.5,-13.35,MISSING,NORMAL
MAA-DEL,2026-09-20,Akasa Air,T+15,5229,7393.0,-29.27,AVAILABLE,NORMAL
BOM-BLR,2026-10-20,Air India,T+45,4951,6133.5,-19.28,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,IndiGo,T+45,6846,6927.0,-1.17,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,Air India,T+45,4446,6792.5,-34.55,AVAILABLE,NORMAL
BOM-BLR,2026-09-12,Air India Express,T+7,8561,6133.5,39.58,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,Akasa Air,T+1,5499,6133.5,-10.34,AVAILABLE,NORMAL
DEL-BOM,2026-09-06,IndiGo,T+1,6846,7207.0,-5.01,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,Akasa Air,T+30,6582,6581.5,0.01,AVAILABLE,NORMAL
BLR-HYD,2026-09-12,Air India,T+7,7025,6792.5,3.42,AVAILABLE,NORMAL
BOM-BLR,2026-09-06,Air India Express,T+1,4050,6133.5,-33.97,AVAILABLE,NORMAL
DEL-BOM,2026-09-06,SpiceJet,T+1,6583,7207.0,-8.66,AVAILABLE,NORMAL
DEL-CCU,2026-10-20,Air India,T+45,6779,6581.5,3.0,AVAILABLE,NORMAL
DEL-CCU,2026-10-20,SpiceJet,T+45,5971,6581.5,-9.28,AVAILABLE,NORMAL
DEL-CCU,2026-10-20,SpiceJet,T+45,7241,6581.5,10.02,AVAILABLE,NORMAL
BOM-BLR,2026-10-05,SpiceJet,T+30,4790,6133.5,-21.9,AVAILABLE,NORMAL
DEL-BOM,2026-09-06,Akasa Air,T+1,6103,7207.0,-15.32,AVAILABLE,NORMAL
DEL-BOM,2026-10-05,SpiceJet,T+30,5169,7207.0,-28.28,AVAILABLE,NORMAL
DEL-BOM,2026-10-05,Air India Express,T+30,7185,7207.0,-0.31,AVAILABLE,NORMAL
DEL-BLR,2026-09-06,IndiGo,T+1,9081,6927.0,31.1,AVAILABLE,NORMAL
BLR-HYD,2026-10-05,IndiGo,T+30,8005,6792.5,17.85,AVAILABLE,NORMAL
DEL-BLR,2026-09-20,Akasa Air,T+15,4331,6927.0,-37.48,AVAILABLE,NORMAL
BLR-HYD,2026-10-20,SpiceJet,T+45,9272,6792.5,36.5,AVAILABLE,NORMAL
DEL-BLR,2026-09-12,Air India,T+7,4234,6927.0,-38.88,AVAILABLE,NORMAL
DEL-BLR,2026-10-20,Air India,T+45,5722,6927.0,-17.4,AVAILABLE,NORMAL
DEL-CCU,2026-10-05,SpiceJet,T+30,8124,6581.5,23.44,AVAILABLE,NORMAL
DEL-BOM,2026-10-20,SpiceJet,T+45,7787,7207.0,8.05,AVAILABLE,NORMAL
BLR-HYD,2026-09-06,SpiceJet,T+1,4690,6792.5,-30.95,AVAILABLE,NORMAL
BLR-HYD,2026-10-05,Air India Express,T+30,5772,6792.5,-15.02,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,Air India,T+15,6656,7207.0,-7.65,AVAILABLE,NORMAL
DEL-BOM,2026-09-20,Akasa Air,T+15,8961,7207.0,24.34,AVAILABLE,NORMAL
BOM-BLR,2026-09-20,IndiGo,T+15,5921,6133.5,-3.46,AVAILABLE,NORMAL
DEL-BOM,2026-09-12,Air India,T+7,6162,7207.0,-14.5,AVAILABLE,NORMAL
DEL-CCU,2026-09-06,SpiceJet,T+1,5095,6581.5,-22.59,SOLD_OUT,NORMAL
DEL-CCU,2026-09-20,SpiceJet,T+15,4239,6581.5,-35.59,AVAILABLE,NORMAL
